,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,ESTADISTICAS POR INSTITUCION PRUEBAS SABER 11° 2021-4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CODINST,NOMBREINSTITUCION,CODIGOMUNICIPIO,NOMBREMUNICIPIO,DEPARTAMENTO,CALENDARIO,NATURALEZA,JORNADA,EVALUADO,PROMLECTURACRITICA,PROMMATEMATICA,PROMSOCIALESYCIUDADANAS,PROMCIENCIASNATURALES,PROMINGLES,DESVLECTURACRITICA,DESVMATEMATICA,DESVSOCIALESYCIUDADANAS,DESVCIENCIASNATURALES,DESVINGLES,PERIODO
047621,MARIA AUXILIADORA,41244,ELÍAS,HUILA,A,OFICIAL,COMPLETA,38,53,51,46,48,44,8,11,11,9,9,20214
109454,COLEGIO NICOLÁS GÓMEZ DÁVILA (IED) - SEDE PRINCIPAL,11001,BOGOTÁ D.C.,BOGOTÁ,A,OFICIAL,TARDE,92,51,50,46,47,47,9,8,10,7,10,20214
011981,SEDE 1 INSTITUCIÓN EDUCATIVA SAN LUIS GONZAGA,52838,TÚQUERRES,NARIÑO,A,OFICIAL,TARDE,37,57,57,52,53,56,9,9,10,7,11,20214
167437,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR REBECA SIERRA CARDONA - SEDE PRINCIPAL,17042,ANSERMA,CALDAS,A,OFICIAL,FIN DE SEMANA,12,,,,,40,,,,,6,20214
023812,LICEO FEMENINO MERCEDES NARIÑO,11001,BOGOTÁ D.C.,BOGOTÁ,A,OFICIAL,NOCTURNA,28,46,43,40,41,45,7,7,8,6,6,20214
008136,INST. EDUC.SIMON BOLIVAR,23555,PLANETA RICA,CORDOBA,A,OFICIAL,MAÑANA,172,54,52,49,51,47,10,11,11,10,10,20214
038968,LUIS EDGAR DURAN RAMIREZ,41518,PAICOL,HUILA,A,OFICIAL,COMPLETA,60,53,53,49,51,49,9,9,11,9,9,20214
009605,I.E. NORMAL SUPERIOR DE QUIBDO - SEDE PRINCIPAL,27001,QUIBDÓ,CHOCO,A,OFICIAL,MAÑANA,180,44,40,38,39,41,8,10,9,7,9,20214
139535,INSTITUCION EDUCATIVA JORGE ELIECER GAITAN,20011,AGUACHICA,CESAR,A,OFICIAL,MAÑANA,66,52,50,45,46,47,8,9,11,8,9,20214
113472,INSTITUCIÓN EDUCATIVA JUAN DE DIOS COCK,05001,MEDELLÍN,ANTIOQUIA,A,OFICIAL,MAÑANA,63,53,49,47,46,48,9,8,9,8,11,20214
050054,MISAEL PASTRANA BORRERO,41615,RIVERA,HUILA,A,OFICIAL,NOCTURNA,19,45,41,40,42,40,8,9,8,7,8,20214
010165,LAUREANO GOMEZ,41668,SAN AGUSTÍN,HUILA,A,OFICIAL,MAÑANA,83,52,50,47,49,48,9,8,10,8,10,20214
127241,COLEGIO SANTA ISABEL,66170,DOSQUEBRADAS,RISARALDA,A,OFICIAL,MAÑANA,99,52,49,45,47,50,8,8,9,8,11,20214
146738,COL BAS CAMILO DAZA,54001,CÚCUTA,NORTE SANTANDER,A,OFICIAL,MAÑANA,39,47,44,41,44,42,9,10,10,7,9,20214
089763,INSTITUCION EDUCATIVA DISTRITAL CALIXTO ALVAREZ - SEDE PRINCIPAL,08001,BARRANQUILLA,ATLANTICO,A,OFICIAL,NOCTURNA,42,44,42,38,41,39,7,9,9,7,8,20214
033282,I.E. RAFAEL URIBE URIBE - SEDE PRINCIPAL,13442,MARÍA LA BAJA,BOLIVAR,A,OFICIAL,MAÑANA,98,46,44,39,42,40,9,10,10,8,8,20214
044081,INSTITUCIÓN EDUCATIVA LEON DE GREIFF,17001,MANIZALES,CALDAS,A,OFICIAL,MAÑANA,61,56,54,51,52,53,8,8,10,8,11,20214
005686,IE GUSTAVO ROMERO HERNANDEZ - SEDE PRINCIPAL,15804,TIBANÁ,BOYACA,A,OFICIAL,COMPLETA,67,53,51,49,50,46,10,11,10,9,10,20214
027763,I.E. EL ESPINO - SEDE PRINCIPAL,15248,EL ESPINO,BOYACA,A,OFICIAL,COMPLETA,23,50,49,45,46,47,9,10,10,9,10,20214
053579,I. E. CEDEÑO,05887,YARUMAL,ANTIOQUIA,A,OFICIAL,COMPLETA,13,53,49,47,48,43,9,10,7,6,6,20214
011551,INSTITUCION EDUCATIVA SAN BARTOLOME,52215,CÓRDOBA,NARIÑO,A,OFICIAL,MAÑANA,84,52,51,47,50,49,9,9,9,9,9,20214
149252,MARIA DORALIZA LOPEZ DE MEJIA,44001,RIOHACHA,LA GUAJIRA,A,OFICIAL,NOCTURNA,56,41,37,35,38,37,8,8,8,6,6,20214
106294,INSTITUCION EDUCATIVA DEPARTAMENTAL FRANCISCO JULIAN OLAYA,25386,LA MESA,CUNDINAMARCA,A,OFICIAL,NOCTURNA,1,57,50,57,55,39,0,0,0,0,0,20214
